name,id,lat,lon,capacity
"Bricklayers Arms, Borough",94,51.49506109,-0.085814489,28
"Aldersgate Street, Barbican",95,51.5208417,-0.097340162,15
"Falkirk Street, Hoxton",96,51.53095071,-0.078505384,26
"Gloucester Road (North), Kensington",97,51.49792478,-0.183834706,18
"Hampstead Road, Euston",98,51.52554222,-0.138231303,54
"Old Quebec Street, Marylebone",99,51.51457763,-0.158264483,16
"Albert Embankment, Vauxhall",100,51.49043573,-0.122806861,24
"Queen Street 1, Bank",101,51.51155322,-0.0929401,22
"Jewry Street, Aldgate",102,51.51340693,-0.076793375,17
"Vicarage Gate, Kensington",103,51.50472376,-0.192538767,18
"Crosswall, Tower",104,51.51159481,-0.077121322,34
"Westbourne Grove, Bayswater",105,51.51552971,-0.190240716,26
"Woodstock Street, Mayfair",106,51.51410514,-0.147301667,21
"Finsbury Leisure Centre, St. Luke's",107,51.52600832,-0.096317627,20
"Abbey Orchard Street, Westminster",108,51.49812559,-0.132102166,29
"Soho Square , Soho",109,51.51563144,-0.132328837,57
"Wellington Road, St. John's Wood",110,51.53304322,-0.172528678,17
"Park Lane , Hyde Park",111,51.5100172,-0.157275636,28
"Stonecutter Street, Holborn",112,51.51580998,-0.105270275,42
"Gloucester Road (Central), South Kensington",113,51.49646288,-0.183289032,19
"Park Road (Baker Street), The Regent's Park",114,51.52451738,-0.158963647,22
"Braham Street, Aldgate",115,51.51423368,-0.073537654,34
"Little Argyll Street, West End",116,51.51449962,-0.141423695,21
"Lollard Street, Vauxhall",117,51.49288067,-0.114934001,25
"Rochester Row, Westminster",118,51.49582705,-0.13547809,13
"Bath Street, St. Luke's",119,51.52589324,-0.090847761,18
"The Guildhall, Guildhall",120,51.51573534,-0.093080779,17
"Baker Street, Marylebone",121,51.51891348,-0.156166631,22
"Norton Folgate, Liverpool Street",122,51.52111369,-0.078869751,23
"St. John Street, Finsbury",123,51.52836014,-0.104724625,18
"Eaton Square, Belgravia",124,51.49654462,-0.150905245,20
"Borough High Street, The Borough",125,51.50069491,-0.094524319,21
"Museum of London, Barbican",126,51.51782144,-0.096496865,52
"Wood Street, Guildhall",127,51.51700801,-0.09388536,17
"Emperor's Gate, South Kensington",128,51.49536226,-0.185296516,22
"Golden Square, Soho",129,51.5118973,-0.137043852,18
"Tower Gardens , Tower",130,51.50950627,-0.075459482,24
"Eversholt Street , Camden Town",131,51.53300545,-0.136792671,16
"Bethnal Green Road, Shoreditch",132,51.52364804,-0.074754872,38
"Derry Street, Kensington",133,51.50136494,-0.191462381,18
"Wapping High Street, Wapping",134,51.504904,-0.06797,20
"Clerkenwell Green, Clerkenwell",135,51.52326004,-0.104708922,21
"Queen Victoria Street, St. Paul's",136,51.51196176,-0.097441687,32
"Green Street, Mayfair",138,51.51227622,-0.157436972,19
"Lambeth Road, Vauxhall",139,51.49488108,-0.117974901,18
"Finsbury Square , Moorgate",140,51.52096262,-0.085634242,33
"Chapel Place, Marylebone",141,51.51530805,-0.147203711,29
"West Cromwell Road, Earl's Court",142,51.49372451,-0.198286569,24
"Pont Street, Knightsbridge",143,51.4968865,-0.161203828,24
"Kennington Cross, Kennington",144,51.48894022,-0.111435796,47
"Ilchester Place, Kensington",145,51.50074359,-0.202759212,23
"Vauxhall Bridge , Pimlico",146,51.48836528,-0.129361842,35
"Portugal Street, Holborn",147,51.51494305,-0.11614642,16
"Tachbrook Street, Victoria",148,51.49211134,-0.138364847,16
"Kennington Road Post Office, Oval",149,51.48478899,-0.110683213,18
"Holy Trinity Brompton, Knightsbridge",150,51.49705603,-0.168917077,28
"Chepstow Villas, Notting Hill",151,51.51213691,-0.201554966,26
"Hampton Street, Walworth",152,51.49217002,-0.101536865,21
"Waterloo Station 3, Waterloo",154,51.50379168,-0.11282408,35
"Lexham Gardens, Kensington",155,51.49586666,-0.191933711,19
"New Kent Road, The Borough",156,51.49443626,-0.092921165,33
"Wright's Lane, Kensington",157,51.50039792,-0.193068385,37
"Trebovir Road, Earl's Court",158,51.49085368,-0.196170309,18
"Great Marlborough Street, Soho",159,51.51461995,-0.137841333,39
"Waterloo Place, St. James's",160,51.50663341,-0.131773845,20
"Guildhouse Street, Victoria",161,51.49234577,-0.141334487,16
"Southampton Place, Holborn",162,51.51760685,-0.121328408,20
"Sloane Avenue, Knightsbridge",163,51.4931848,-0.167894973,30
"Cleveland Gardens, Bayswater",164,51.515607,-0.183118788,16
"Orsett Terrace, Bayswater",165,51.517932,-0.183716959,15
"Seville Street, Knightsbridge",166,51.50185512,-0.159237081,27
"Eccleston Place, Victoria",167,51.49395092,-0.147624377,19
"Argyll Road, Kensington",168,51.50040123,-0.195455928,19
"Porchester Place, Paddington",169,51.51474612,-0.165164288,18
